Education_key,female_literacy_rate,male_literacy_rate,adult_literacy_rate,primary_completion_rate_total,public_education_spending,primary_school_enrollment,primary_school_enrollment_female,primary_school_enrollment_male,secondary_school_enrollment,secondary_school_enrollment_female,secondary_school_enrollment_male,tertiary_school_enrollment
14,99.0,99.0,99.0,102.5,4.8522080422,100.9897537,100.6940231,101.2723236,114.3332672,114.8205338,113.869751,75.69882202
15,99.0,99.0,99.0,99.5,4.9982580186000005,100.672865284,100.892517112,100.466127012,109.03364564,109.11101074,108.96155853999998,65.650946046
16,99.0,99.0,99.0,99.80464933333332,5.0,101.8740234,101.3106003,102.411377,95.0524826,95.9484787,94.20211029,80.63482666
17,99.0,99.0,99.0,99.80464933333332,5.0,100.53312224,100.281947344,100.773277286,96.91719818,97.283773802,96.568165588,87.14251556399999
18,99.0,99.0,99.0,99.80464933333332,5.0,100.53312224,100.281947344,100.773277286,96.91719818,97.283773802,96.568165588,87.14251556399999
19,99.0,99.0,99.0,99.80464933333332,5.0,100.53312224,100.281947344,100.773277286,96.91719818,97.283773802,96.568165588,87.14251556399999
20,99.0,99.0,99.0,99.80464933333332,5.0,100.53312224,100.281947344,100.773277286,96.91719818,97.283773802,96.568165588,87.14251556399999
21,99.0,99.0,99.0,99.80464933333332,5.0,100.53312224,100.281947344,100.773277286,96.91719818,97.283773802,96.568165588,87.14251556399999
22,99.0,99.0,99.0,99.80464933333332,5.0,100.53312224,100.281947344,100.773277286,96.91719818,97.283773802,96.568165588,87.14251556399999
23,99.0,99.0,99.0,99.80464933333332,5.0,100.53312224,100.281947344,100.773277286,96.91719818,97.283773802,96.568165588,87.14251556399999
24,99.0,99.0,99.0,99.80464933333332,5.0,99.45543671,99.0333786,99.85974884,96.18649292,96.30905914,96.06963348,88.72641754
25,99.0,99.0,99.0,99.80464933333332,5.0,99.67337799,99.50208282,99.83744049,96.92453766,97.51304626,96.36253357,88.6268692
26,99.0,99.0,99.0,99.80464933333332,5.0,100.2999115,100.287262,100.3120422,97.65254974,98.17357635,97.15371704,88.88941193
27,99.0,99.0,99.0,99.80464933333332,5.0,101.3628616,101.276413,101.4457779,98.76992798,98.47470856,99.05283356,88.83505249
28,99.0,99.0,99.0,98.8321991,5.2,101.8214417,101.4219971,102.2044601,98.95233917,98.69555664,99.19851685,88.16738892
29,99.0,99.0,99.0,100.0926971,5.2,101.2565613,101.196373,101.3142395,99.27558136,98.79605865,99.73565674,88.29917908
30,99.0,99.0,99.0,100.4890518,5.2,100.9813004,101.3437424,100.634079,100.0634308,99.18945313,100.9021225,87.88871002
31,99.0,99.0,99.0,99.80464933333332,5.2,101.45923768,101.30982516,101.6019867,98.422752382,98.220851136,98.618247988,86.76503143400001
32,90.21041107,93.1904068,91.63027191,100.5736389,4.845689774,108.6008377,107.5982437,109.5725479,82.30407715,84.03331757,80.5658493,24.21640015
33,89.8345108,93.90119934,91.73451996,100.8881989,4.699920177,108.1747665,107.0704193,109.2462234,84.08560181,86.24868011,81.9230423,24.79043007
34,91.35555267,94.44151306,92.79517365,101.9606934,4.690509796,108.7997131,107.6687775,109.8989563,84.90705109,87.52310181,82.3140564,25.42106056
35,91.45361328,94.59216309,92.92559814,101.2903595,4.82006979,109.4244232,108.3209534,110.4972076,86.42752838,89.55883789,83.34577179,26.11203003
36,92.11624908,94.91657257,93.44187927,99.8245163,5.187940121,110.5452805,109.5611877,111.5010605,85.93801117,89.39710999,82.55104828,26.58672905
37,91.85341644,94.38394165,93.06893921,100.2393875,5.159220219,110.6334915,109.8384171,111.4043198,87.0699234,90.38813782,83.83090973,27.56347084
38,92.33827972,94.78276825,93.51998138,100.1975327,5.105649948,110.5407562,109.8900986,111.1703186,88.19017792,91.30687714,85.15087128,28.34149933
39,93.17923737,95.39163208,94.22840118,106.0110092,5.103099823,110.4134521,109.9152985,110.8946762,90.66719818,93.64716339,87.75827789,29.4718399
40,92.90393829,95.11210632,93.96285248,109.4250412,4.696050167,109.4414825,109.0077515,109.8597488,93.3275528,95.947052,90.76838684,30.30003929
41,93.59133911,95.62046814,94.55587769,110.5088425,5.257470131,108.0057526,107.7004013,108.2996826,97.34338379,100.0534668,94.69579315,31.0941391
42,93.48549652,95.54933167,94.47228241,104.9098206,5.229420185,106.6061096,106.4718628,106.7350769,100.8327408,104.0937805,97.6499176,31.8190403
43,93.96852112,95.84481812,94.85961914,103.9693909,4.90681982,106.2777328,106.333168,106.2245789,102.4040604,106.1494064,98.75592041,38.43338013
44,94.16575623,95.87236786,94.97277832,104.0978394,4.518219948,105.7700119,106.0346909,105.516571,104.3850327,108.219902,100.6593628,40.22895813
45,94.60804749,96.23290253,95.37991333,102.2558899,4.254429817,105.0280685,105.3607101,104.709877,105.103363,109.5876083,100.7587128,41.52280045
46,93.963832094,95.823977664,94.848094178,102.465538,4.8332719802,104.6558228,105.1412582,104.191803,104.6472397,109.5373993,99.92178345,42.83069992
47,94.49513245,96.05874634,95.24784851,105.14835666000002,4.8332719802,106.33753508,106.38016662,106.29715728,102.013716138,105.6208328,98.503941352,36.619663622
48,58.630630493333335,78.81194559666666,68.81000773333334,95.435888672,3.188750029,109.51865997999998,110.75170138,108.42099916,53.96905899,49.01576996,58.42649841,10.67963982
49,50.82376099,75.19190216,62.75447083,95.435888672,3.142849922,109.51865997999998,110.75170138,108.42099916,54.88293839,50.23820114,59.05300903,11.4863596
50,58.630630493333335,78.81194559666666,68.81000773333334,95.407849122,3.3567440034,110.0201187,109.6115799,110.3839493,57.27587128,53.30596924,60.83147049,13.12668037
51,58.630630493333335,78.81194559666666,68.81000773333334,94.75758362,3.3567440034,110.6973801,111.8521576,109.6691666,60.35649109,57.01189041,63.3456192,15.04720974
52,58.630630493333335,78.81194559666666,68.81000773333334,95.74629211,3.278249979,109.4510727,111.2892838,107.8146515,59.61365128,57.51856995,61.48292923,16.03092957
53,58.630630493333335,78.81194559666666,68.81000773333334,95.435888672,3.377690077,109.1013718,110.6951218,107.6827469,63.11619949,61.10480118,64.90872955,17.83387947
54,59.27732086,78.87722778,69.3025589,92.76335907,3.79618001,108.3233566,110.3103638,106.5544815,66.2507019,64.66925049,67.65908813,22.76465034
55,58.630630493333335,78.81194559666666,68.81000773333334,95.72408752600002,3.867500067,109.7612991,111.9744263,107.7894669,69.01283264,67.63686371,70.23729706,24.26798058
56,58.630630493333335,78.81194559666666,68.81000773333334,96.20088959,3.844670057,110.583313,117.1203766,104.7486877,68.75911713,69.48177338,68.11627197,23.79483032
57,58.630630493333335,78.81194559666666,68.81000773333334,97.57112122,3.6490119934,107.8644104,114.0187607,102.3568878,74.1415329,75.03926086,73.34300995,25.43213081
58,58.630630493333335,78.81194559666666,68.81000773333334,97.71131897,3.285729885,108.4852295,114.780571,102.8335037,73.8656311,74.68528748,73.1364975,26.76898956
59,58.630630493333335,78.81194559666666,68.81000773333334,96.23069763,3.450979948,114.5383224,123.5551376,106.4179001,75.09179688,76.03894806,74.24894714,26.82921982
60,58.630630493333335,78.81194559666666,68.81000773333334,94.37374878,3.6490119934,112.9578629,121.1273727,105.5810089,73.47688293,74.05850983,72.95886993,27.44212914
61,65.79080963,82.36670685,74.37299347,94.907276916,3.6490119934,106.54211120799998,111.637132256,101.951074214,74.37950897,74.95496368,73.86634827,28.06055069
62,58.630630493333335,78.81194559666666,68.81000773333334,91.66149139,3.6343540192,96.82868195,97.81433868,95.93580627,73.79296875,74.52295685,73.14083099,28.57290077
63,58.630630493333335,78.81194559666666,68.81000773333334,94.55912781,3.6490119934,99.90045929,100.9082413,98.9871521,75.48119354,75.28150177,75.66000366,29.44132996
64,93.93527985,97.972999575,95.98268509,95.6379718775,3.7866359708,100.282617188,99.541651912,100.93486786600002,80.69075164799999,80.923934934,80.481898502,19.08699989
65,93.93527985,97.972999575,95.98268509,91.6324234,3.7866359708,100.9932785,100.5622482,101.3753433,71.32845306,70.96914673,71.65891266,20.2191906
66,93.93527985,97.972999575,95.98268509,93.34789276,3.7866359708,100.7070465,100.0725708,101.2680588,76.78765869,76.76522064,76.80814362,20.52121925
67,93.93527985,97.972999575,95.98268509,99.27693939,3.7866359708,100.7424393,99.90914154,101.4770584,81.71283722,82.26368713,81.21424866,20.68412018
68,93.93527985,97.972999575,95.98268509,98.29463196,3.7866359708,100.0061035,99.12140656,100.7833405,85.45140839,86.60894012,84.41121674,22.44305992
69,92.71122742,97.47946167,95.1244812,95.6379718775,3.754640102,98.96421814,98.04289246,99.77053833,88.17340088,88.01268005,88.31697083,24.19849014
70,93.93527985,97.972999575,95.98268509,95.6379718775,3.52196002,99.04701996,98.2403183,99.75012207,80.690751648,80.923934934,80.481898502,25.64785004
71,93.93527985,97.972999575,95.98268509,95.6379718775,4.077429771,99.79109955,99.1953125,100.3084412,80.690751648,80.923934934,80.481898502,28.72566986
72,93.93527985,97.972999575,95.98268509,95.6379718775,3.852509975,99.56459808,99.43688965,99.67513275,80.690751648,80.923934934,80.481898502,32.43367004
73,93.93527985,97.972999575,95.98268509,95.6379718775,3.726639986,95.7964325,95.83342743,95.76450348,80.690751648,80.923934934,80.481898502,42.43072891
74,93.93527985,97.972999575,95.98268509,95.6379718775,3.82487011,96.31860352,96.44554138,96.20934296,80.690751648,80.923934934,80.481898502,46.04042816
75,93.93527985,97.972999575,95.98268509,95.6379718775,3.79362011,97.96192169,98.22966003,97.73190308,80.690751648,80.923934934,80.481898502,48.01902008
76,93.93527985,97.972999575,95.98268509,95.6379718775,3.667449951,99.40480804,99.90992737,98.97126007,80.690751648,80.923934934,80.481898502,49.07326126
77,95.15933228,98.46653748,96.84088898,95.6379718775,3.542490005,100.2227478,100.8315811,99.69995117,80.690751648,80.923934934,80.481898502,50.60443878
78,93.93527985,97.972999575,95.98268509,95.6379718775,3.7110140324,101.9257202,102.5646133,101.3760223,80.690751648,80.923934934,80.481898502,53.76491165
79,93.93527985,97.972999575,95.98268509,95.6379718775,3.7110140324,103.1739578,103.7125778,102.7089615,80.690751648,80.923934934,80.481898502,58.42010117
80,51.38142967500001,62.61669922,57.10728073,58.851013946,1.563070059,63.33871841,59.1302681,67.43695831,38.75273895,37.32611847,40.14612961,12.21996975
81,51.38142967500001,62.61669922,57.10728073,58.851013946,1.963019967,67.7927475,62.82376099,72.63665009,36.85829926,36.02790833,37.66949081,13.86450005
82,51.38142967500001,62.61669922,57.10728073,58.851013946,1.98655000325,67.29325104,61.3889389,73.04637909,36.16999054,34.52642059,37.7747612,13.67850971
83,46.69963074,59.79824829,53.51737976,58.96981964,2.201430082,72.81980133,67.62818909,77.87976837,38.28033829,36.24045944,40.27127075,15.2150898
84,51.38142967500001,62.61669922,57.10728073,58.851013946,2.218679905,72.34951782,68.09314728,76.50015259,42.32099152,39.29463959,45.27384949,15.58644009
85,51.38142967500001,62.61669922,57.10728073,61.11948013,1.98655000325,71.72598267,67.76904297,75.58553314,42.52223969,39.44942093,45.5195694,15.91798019
86,51.38142967500001,62.61669922,57.10728073,58.851013946,1.98655000325,69.47705078,65.17221832,73.67427826,37.55913162,35.88174057,39.19453812,15.51455021
87,51.38142967500001,62.61669922,57.10728073,57.54983139,1.98655000325,70.88316345,66.67713165,74.98687744,41.23273849,39.31082153,43.10940933,15.72455978
88,51.38142967500001,62.61669922,57.10728073,58.09366989,1.98655000325,72.01493835,68.05666351,75.87660217,43.60937119,42.32025146,44.86880875,17.67452049
89,51.38142967500001,62.61669922,57.10728073,58.2490387,1.98655000325,72.26756287,69.33065033,75.13115692,44.85091019,42.68819046,46.9635582,16.90434074
90,51.38142967500001,62.61669922,57.10728073,59.24304962,1.98655000325,73.14597321,69.78471375,76.42114258,45.62371063,45.27236938,45.96677017,16.91901016
91,51.38142967500001,62.61669922,57.10728073,59.83707809,1.98655000325,75.90737152,73.22093964,78.52378082,44.13193893,43.68238831,44.57067108,16.600458334
92,51.38142967500001,62.61669922,57.10728073,61.68764114,1.98655000325,76.81606293,74.41108704,79.15744781,46.62173843,46.95737839,46.29423141,16.600458334
93,56.06322861,65.43515015,60.6971817,64.08550262,1.98655000325,78.95290375,76.12258148,81.7076416,45.86418915,46.33087921,45.4088707,16.600458334
94,53.749251556,60.487422946,57.08047409200001,66.32054901,2.0920399666,101.6478119,103.9545364,99.43054962,46.96282959,48.4769516,45.50960922,6.446700096
95,53.749251556,60.487422946,57.08047409200001,64.6584424975,2.131289959,102.416153,105.2583923,99.68595123,47.52978134,48.85300827,46.25743103,7.361199856
96,43.74084854,49.8323288,46.66360092,64.6584424975,2.202219963,101.6202469,105.2410431,98.141922,48.30105972,49.56628036,47.08351135,7.932970047
97,53.749251556,60.487422946,57.080474092,59.02299118,2.05456996,99.5429306,102.5926285,96.61228943,46.24111938,49.01089096,43.57575989,8.884090424
98,53.749251556,60.487422946,57.08047409200001,65.45803833,1.939419985,102.9275665,105.3820877,100.5688477,49.99824142,51.91283035,48.1570015,10.8580904
99,54.62766342,61.22547684,57.889279938,67.83219147,2.1162259578,105.9745483,109.2534485,102.82547,51.63769913,54.67509079,48.71955872,10.7289639466
100,55.11943817,62.48305893,58.7691803,64.65844249749999,2.132699966,102.50180206,105.28821868,99.824621596,52.43136978,56.19821167,48.81148148,13.69155979
101,54.23603821,61.54286957,57.86074829,64.65844249749999,2.175499916,102.50180206,105.28821868,99.824621596,55.20996857,58.82461166,51.73942184,13.80099964
102,57.78900146,64.21376801,61.01554108,64.65844249749999,1.966160059,105.16997222,108.3089035,102.155873132,60.16873932,62.58472824,57.85261917,13.5304203
103,57.8609314,64.36508942,61.09329987,64.6584424975,2.0536699772,104.30462493999998,107.24912107999998,101.476889056,56.687501526000005,59.834888456,53.66774444600001,13.86507988
104,62.25299072,68.05535889,65.1373291,64.65844249749999,1.8272439956,111.9827133,115.88652496,108.23771976,65.62918854,69.65406036,61.77819824,13.78740978
105,69.89720917,75.61885071,72.7587204,64.65844249749999,1.535539985,111.27103424,115.08751372,107.609816006,71.41584015,75.01081085,67.97476196,17.87435913
106,70.08570099,75.70236206,72.89296722,64.65844249749999,1.8272439956,114.9886627,119.0579605,111.0868073,69.66316986,75.21749115,64.34774017,18.15146065
107,71.18193817,76.66925812,73.91220093,64.65844249749999,1.8272439956,116.4663391,120.7517471,112.3574524,72.69059753,78.27072906,67.35347748,20.5650692
108,71.94838715,77.44149017,74.6844635,64.65844249749999,1.326320052,111.27103424,115.08751372,107.609816006,72.55812836,78.27726746,67.0911026,24.01688957
109,72.00478363,77.81671143,74.9088974,64.65844249749999,1.8272439956,119.5564499,124.987381,114.3500214,74.3600769,81.48805237,67.54805756,22.83039093
110,90.279214478,89.83885498,90.067721558,109.12,4.4790802,133.2621613,129.164566,137.2152252,101.2919922,106.2145386,96.51869965,25.98962975
111,89.85559082,89.35324097,89.61522675,109.12,4.870600224,126.32947692,122.48311157999998,130.0035309,97.022195438,102.326432804,91.941957096,28.76543
112,90.22801208,89.7721405,90.0093689,109.12,4.974259853,128.1797943,124.8782883,131.2835999,95.16999817,100.83815,89.76165009,30.78668976
113,90.21955109,89.83786774,90.03662109,109.12,5.268839836,132.0552063,127.313118,136.5995331,96.72012329,102.6016083,91.12729645,35.56209946
114,90.41121674,90.17484283,90.29821014,109.12,5.463550091,131.1651611,128.1880341,133.9461365,96.66548157,102.1236267,91.45065308,37.03839874
115,90.68170166,90.05618286,90.37918091,109.12,5.648799896,118.70544432,115.32075654,121.93478394,96.934570322,101.685209658,92.388542178,39.54353
116,91.63314819,91.16898346,91.41123962,109.12,5.737410069,106.9850616,102.8715515,110.9731598,95.26338196,99.85424042,90.85148621,43.45983124
117,91.62490082,91.02567291,91.33785248,109.12,5.855100155,108.8190231,106.1904678,111.304451,93.42028809,97.46163177,89.53225708,45.17753983
118,91.76496124,91.17796326,91.48423767,109.12,5.838850021,114.5027695,112.0406113,116.8506393,102.6035767,106.3849411,98.98101807,47.05736923
119,92.06051636,91.36676788,91.72943115,109.12,5.948480129,114.8582001,112.3075104,117.3061905,101.3885269,105.7373962,97.30409241,50.17644882
120,92.34378815,91.72515869,92.04789734,109.12,6.24105978,113.3699722,110.9740067,115.6682587,100.6081696,103.4027176,97.93479919,51.32004166
121,93.02120209,92.57515717,92.80844116,109.12,6.314040184,114.5202789,112.9834213,115.9730988,102.0632629,104.5020065,99.7387619,50.73448944
122,93.24371338,92.8915329,93.07582092,109.12,6.32047987,115.9717789,113.9252396,117.9199219,101.3137894,102.9063187,99.78598022,51.57070923
123,93.42507172,93.00904083,93.22750092,109.12,6.088510036,114.476532,112.9145279,115.9605103,105.0091095,106.6633224,103.4190063,53.25735092
124,92.81885834,92.313531494,92.577818298,109.12,6.182513999799999,111.9657822,109.3679276,114.4892273,103.9523773,106.7609863,101.3035965,55.13629913
125,92.399713136,91.879096986,92.150849914,109.12,5.9064579962,114.64459992,112.44615786,116.74362184000002,101.5954651,104.58667601999998,98.748930358,49.172029878
126,15.08413982,42.92736816,28.6724205,29.39775085,3.015824032,48.35649109,40.20119095,56.20872879,9.631489754,7.448299885,11.86192989,1.047739983
127,21.428476650000004,41.86003875666666,31.427603403333336,32.20075989,2.558520079,48.98725891,41.03292847,56.63179016,11.04808998,8.51543045,13.61266041,1.060230017
128,21.428476650000004,41.86003875666666,31.427603403333336,38.88185883,3.014620066,51.37997055,43.47883987,58.97980118,10.59879017,8.124290466,13.06140995,0.992869973
129,21.428476650000004,41.86003875666666,31.427603403333336,37.40855026,2.723119974,55.2114296,48.02487946,62.13209915,10.91361046,8.349410057,13.43342972,1.125450015
130,21.428476650000004,41.86003875666667,31.42760340333333,39.65544128,3.335880041,59.01190186,51.86993027,65.89685822,11.43198967,8.746319771,14.04883957,1.343729973
131,21.428476650000004,41.86003875666667,31.42760340333333,39.68682098,2.721950054,62.70835876,55.93310928,69.2452774,13.04246998,10.69458008,15.31690979,1.372640014
132,21.428476650000004,41.86003875666667,31.42760340333333,44.36259079,3.077620029,66.51894379,59.80710983,72.99845123,13.88327026,11.06647968,16.60107994,1.404809952
133,22.55129051,39.05868912,30.56039047,47.7938118,3.18682003,68.39437103,62.06499863,74.50839996,15.05933952,12.2966404,17.71902084,1.593189955
134,21.428476650000004,41.86003875666667,31.42760340333333,47.71931076,3.689529896,69.14922333,62.91550827,75.17346191,16.25382042,13.4053297,18.9945507,2.160809994
135,21.428476650000004,41.86003875666667,31.42760340333333,57.60813904,5.103680134,69.57597351,63.75035858,75.20802307,18.20435905,15.33736992,20.96404076,2.569859982
136,21.428476650000004,41.86003875666667,31.42760340333333,68.10016632,4.485899925,71.59590912,65.56292725,77.43067169,20.09321976,16.98628044,23.08634949,3.299669981
137,21.428476650000004,41.86003875666667,31.42760340333333,71.62693787,2.970959902,73.43232727,67.52597046,79.14698029,23.12496948,19.81686974,26.31468964,3.506419897
138,21.428476650000004,41.86003875666667,31.42760340333333,59.249818422,2.577159882,74.73619843,69.24308014,80.05191803,24.25374985,20.70212936,27.68139076,3.732899904
139,26.64999962,43.59405899,35.04999924,60.180618288000005,3.44698,71.06581421,65.451167298,76.496664428,20.386023712000004,17.249595832,23.40820427,4.414350033
140,21.428476650000004,41.86003875666667,31.42760340333333,62.26213837,3.523169994,66.4154129,62.00835037,70.68029022,18.547141646,15.56849804,21.415730286,4.228240013
141,21.428476650000004,41.86003875666667,31.42760340333333,51.19453812,3.6008339884,69.674942018,63.55621109,75.58805084000001,17.530907820000003,14.561589812,20.3920166,4.373439789
